sample_id,feature_index_one_based,value
0,1,1
0,2,1
0,3,1
0,4,1
0,5,1
0,6,1
0,7,1
0,8,1
0,9,1
1,10,1
1,11,1
1,12,1
1,13,1
1,14,1
1,15,1
1,16,1
1,17,1
1,18,1
1,19,1
1,20,1
1,21,1
1,22,1
1,23,1
1,24,1
1,25,1
1,26,1
1,27,1
1,28,1
1,29,1
1,30,1
1,31,1
1,32,1
1,33,1
1,34,1
1,35,1
1,36,1
1,37,1
1,38,1
1,39,1
1,40,1
1,41,1
1,42,1
1,43,1
1,44,1
1,45,1
1,46,1
1,47,1
1,48,1
1,49,1
1,50,1
1,51,1
1,52,1
1,53,1
1,54,1
1,55,1
1,56,1
1,57,1
1,58,1
1,59,1
1,60,1
1,61,1
1,62,1
1,63,1
1,64,1
1,65,1
1,66,1
1,67,1
1,68,1
1,69,1
1,70,1
1,71,1
1,72,1
1,73,1
1,74,1
1,75,1
1,76,1
1,77,1
1,78,1
1,79,1
1,80,1
1,81,1
1,82,1
1,83,1
1,84,1
1,85,1
1,86,1
1,87,1
1,88,1
1,89,1
1,90,1
1,91,1
1,92,1
1,93,1
1,94,1
1,95,1
1,96,1
1,97,1
1,98,1
1,99,1
1,100,1
1,101,1
1,102,1
1,103,1
1,104,1
1,105,1
1,106,1
1,107,1
1,108,1
1,109,1
1,110,1
1,111,1
1,112,1
1,113,1
1,114,1
1,115,1
1,116,1
1,117,1
1,118,1
1,119,1
1,120,1
1,121,1
1,122,1
1,123,1
1,124,1
1,125,1
1,126,1
1,127,1
1,128,1
1,129,1
1,130,1
1,131,1
1,132,1
1,133,1
1,134,1
1,135,1
1,136,1
1,137,1
1,138,1
1,139,1
1,140,1
1,141,1
1,142,1
1,143,1
1,144,1
1,145,1
1,146,1
1,147,1
1,148,1
1,149,1
1,150,1
1,151,1
1,152,1
1,153,1
1,154,1
1,155,1
1,156,1
1,157,1
1,158,1
1,159,1
1,160,1
1,161,1
1,162,1
1,163,1
1,164,1
1,165,1
1,166,1
1,167,1
1,168,1
1,169,1
1,170,1
1,171,1
1,172,1
1,173,1
1,174,1
1,175,1
1,176,1
1,177,1
1,178,1
1,179,1
1,180,1
1,181,1
1,182,1
1,183,1
1,184,1
1,185,1
1,186,1
1,187,1
1,188,1
1,189,1
1,190,1
1,191,1
1,192,1
1,193,1
1,194,1
1,195,1
1,196,1
1,197,1
1,198,1
1,199,1
1,200,1
1,201,1
1,202,1
1,203,1
1,204,1
1,205,1
1,206,1
1,207,1
1,208,1
1,209,1
1,210,1
1,211,1
1,212,1
1,213,1
1,214,1
1,215,1
1,216,1
1,217,1
1,218,1
1,219,1
1,220,1
1,221,1
1,222,1
1,223,1
1,224,1
1,225,1
1,226,1
1,227,1
1,228,1
1,229,1
1,230,1
1,231,1
1,232,1
1,233,1
1,234,1
1,235,1
1,236,1
1,237,1
1,238,1
1,239,1
1,240,1
1,241,1
1,242,1
1,243,1
1,244,1
1,245,1
1,246,1
1,247,1
1,248,1
1,249,1
1,250,1
1,251,1
1,252,1
1,253,1
1,254,1
1,255,1
1,256,1
1,257,1
1,258,1
1,259,1
1,260,1
1,261,1
1,262,1
1,263,1
1,264,1
1,265,1
1,266,1
1,267,1
1,268,1
1,269,1
1,270,1
1,271,1
1,272,1
1,273,1
1,274,1
1,275,1
1,276,1
1,277,1
1,278,1
1,279,1
1,280,1
1,281,1
1,282,1
1,283,1
1,284,1
1,285,1
1,286,1
1,287,1
1,288,1
1,289,1
1,290,1
2,29,1
2,31,1
2,35,1
2,101,1
2,131,1
2,252,1
2,272,1
2,280,1
2,291,1
2,292,1
2,293,1
2,294,1
2,295,1
2,296,1
2,297,1
2,298,1
2,299,1
2,300,1
2,301,1
2,302,1
2,303,1
2,304,1
2,305,1
2,306,1
2,307,1
2,308,1
2,309,1
2,310,1
2,311,1
2,312,1
2,313,1
2,314,1
2,315,1
2,316,1
2,317,1
2,318,1
2,319,1
2,320,1
2,321,1
2,322,1
2,323,1
2,324,1
2,325,1
2,326,1
2,327,1
2,328,1
2,329,1
2,330,1
2,331,1
2,332,1
2,333,1
2,334,1
2,335,1
2,336,1
2,337,1
2,338,1
2,339,1
2,340,1
2,341,1
2,342,1
2,343,1
2,344,1
2,345,1
2,346,1
2,347,1
3,34,1
3,35,1
3,36,1
3,44,1
3,54,1
3,84,1
3,94,1
3,104,1
3,126,1
3,127,1
3,170,1
3,257,1
3,262,1
3,267,1
3,268,1
3,270,1
3,280,1
3,285,1
3,348,1
3,349,1
3,350,1
3,351,1
3,352,1
3,353,1
3,354,1
3,355,1
3,356,1
3,357,1
3,358,1
3,359,1
3,360,1
3,361,1
3,362,1
3,363,1
3,364,1
3,365,1
3,366,1
3,367,1
3,368,1
3,369,1
3,370,1
3,371,1
3,372,1
3,373,1
3,374,1
3,375,1
3,376,1
3,377,1
3,378,1
3,379,1
3,380,1
3,381,1
3,382,1
3,383,1
3,384,1
3,385,1
3,386,1
3,387,1
3,388,1
3,389,1
3,390,1
3,391,1
3,392,1
3,393,1
3,394,1
3,395,1
3,396,1
3,397,1
3,398,1
3,399,1
3,400,1
3,401,1
3,402,1
3,403,1
3,404,1
3,405,1
3,406,1
3,407,1
3,408,1
3,409,1
3,410,1
3,411,1
3,412,1
3,413,1
3,414,1
3,415,1
3,416,1
3,417,1
3,418,1
3,419,1
3,420,1
3,421,1
3,422,1
3,423,1
3,424,1
3,425,1
3,426,1
3,427,1
3,428,1
4,8,1
4,9,1
4,429,1
4,430,1
4,431,1
4,432,1
4,433,1
4,434,1
4,435,1
4,436,1
5,8,1
5,9,1
5,437,1
5,438,1
5,439,1
5,440,1
5,441,1
5,442,1
6,8,1
6,9,1
6,297,1
6,299,1
6,433,1
6,443,1
6,444,1
6,445,1
6,446,1
6,447,1
6,448,1
6,449,1
6,450,1
6,451,1
6,452,1
7,31,1
7,37,1
7,39,1
7,49,1
7,50,1
7,55,1
7,60,1
7,71,1
7,77,1
7,78,1
7,79,1
7,87,1
7,90,1
7,94,1
7,98,1
7,100,1
7,101,1
7,109,1
7,114,1
7,129,1
7,140,1
7,155,1
7,198,1
7,205,1
7,221,1
7,222,1
7,248,1
7,260,1
7,269,1
7,273,1
7,312,1
7,315,1
7,321,1
7,322,1
7,373,1
7,399,1
7,420,1
7,422,1
7,453,1
7,454,1
7,455,1
7,456,1
7,457,1
7,458,1
7,459,1
7,460,1
7,461,1
7,462,1
7,463,1
7,464,1
7,465,1
7,466,1
7,467,1
7,468,1
7,469,1
7,470,1
7,471,1
7,472,1
7,473,1
7,474,1
7,475,1
7,476,1
7,477,1
7,478,1
7,479,1
7,480,1
7,481,1
7,482,1
7,483,1
7,484,1
7,485,1
7,486,1
7,487,1
7,488,1
7,489,1
7,490,1
7,491,1
7,492,1
7,493,1
7,494,1
7,495,1
7,496,1
7,497,1
7,498,1
7,499,1
7,500,1
7,501,1
7,502,1
7,503,1
7,504,1
7,505,1
7,506,1
7,507,1
7,508,1
7,509,1
7,510,1
7,511,1
7,512,1
7,513,1
7,514,1
7,515,1
7,516,1
7,517,1
7,518,1
7,519,1
7,520,1
7,521,1
7,522,1
7,523,1
7,524,1
7,525,1
7,526,1
7,527,1
7,528,1
7,529,1
7,530,1
7,531,1
7,532,1
7,533,1
7,534,1
7,535,1
7,536,1
7,537,1
7,538,1
7,539,1
7,540,1
7,541,1
7,542,1
7,543,1
7,544,1
7,545,1
7,546,1
7,547,1
7,548,1
7,549,1
7,550,1
7,551,1
7,552,1
7,553,1
7,554,1
7,555,1
7,556,1
7,557,1
7,558,1
7,559,1
7,560,1
7,561,1
7,562,1
7,563,1
7,564,1
7,565,1
7,566,1
7,567,1
7,568,1
7,569,1
7,570,1
7,571,1
7,572,1
7,573,1
7,574,1
7,575,1
7,576,1
7,577,1
7,578,1
7,579,1
7,580,1
7,581,1
7,582,1
7,583,1
7,584,1
7,585,1
7,586,1
7,587,1
7,588,1
7,589,1
7,590,1
7,591,1
7,592,1
7,593,1
7,594,1
7,595,1
7,596,1
7,597,1
7,598,1
7,599,1
7,600,1
7,601,1
7,602,1
7,603,1
7,604,1
7,605,1
7,606,1
7,607,1
7,608,1
7,609,1
7,610,1
7,611,1
7,612,1
7,613,1
7,614,1
7,615,1
7,616,1
7,617,1
7,618,1
7,619,1
7,620,1
7,621,1
7,622,1
7,623,1
7,624,1
7,625,1
7,626,1
7,627,1
7,628,1
7,629,1
7,630,1
7,631,1
7,632,1
7,633,1
7,634,1
7,635,1
7,636,1
7,637,1
7,638,1
7,639,1
7,640,1
7,641,1
7,642,1
7,643,1
7,644,1
7,645,1
7,646,1
7,647,1
7,648,1
7,649,1
7,650,1
7,651,1
7,652,1
7,653,1
8,31,1
8,36,1
8,42,1
8,49,1
8,52,1
8,61,1
8,76,1
8,84,1
8,114,1
8,131,1
8,140,1
8,231,1
8,253,1
8,267,1
8,269,1
8,270,1
8,280,1
8,297,1
8,299,1
8,315,1
8,339,1
8,345,1
8,347,1
8,368,1
8,369,1
8,416,1
8,420,1
8,433,1
8,482,1
8,484,1
8,489,1
8,583,1
8,611,1
8,612,1
8,616,1
8,654,1
8,655,1
8,656,1
8,657,1
8,658,1
8,659,1
8,660,1
8,661,1
8,662,1
8,663,1
8,664,1
8,665,1
8,666,1
8,667,1
8,668,1
8,669,1
8,670,1
8,671,1
8,672,1
8,673,1
8,674,1
8,675,1
8,676,1
8,677,1
8,678,1
8,679,1
8,680,1
8,681,1
8,682,1
8,683,1
8,684,1
8,685,1
8,686,1
8,687,1
8,688,1
8,689,1
8,690,1
8,691,1
8,692,1
8,693,1
8,694,1
8,695,1
8,696,1
8,697,1
8,698,1
8,699,1
8,700,1
8,701,1
8,702,1
8,703,1
8,704,1
8,705,1
8,706,1
8,707,1
8,708,1
8,709,1
8,710,1
8,711,1
8,712,1
8,713,1
8,714,1
8,715,1
8,716,1
8,717,1
8,718,1
8,719,1
8,720,1
8,721,1
8,722,1
8,723,1
8,724,1
8,725,1
8,726,1
8,727,1
8,728,1
8,729,1
8,730,1
8,731,1
8,732,1
8,733,1
8,734,1
8,735,1
8,736,1
8,737,1
8,738,1
8,739,1
8,740,1
8,741,1
8,742,1
8,743,1
8,744,1
8,745,1
8,746,1
8,747,1
8,748,1
9,27,1
9,31,1
9,46,1
9,49,1
9,61,1
9,63,1
9,67,1
9,69,1
9,70,1
9,80,1
9,83,1
9,87,1
9,94,1
9,97,1
9,115,1
9,125,1
9,127,1
9,166,1
9,193,1
9,229,1
9,233,1
9,252,1
9,255,1
9,257,1
9,265,1
9,267,1
9,270,1
9,285,1
9,373,1
9,375,1
9,472,1
9,490,1
9,496,1
9,712,1
9,738,1
9,747,1
9,749,1
9,750,1
9,751,1
9,752,1
9,753,1
9,754,1
9,755,1
9,756,1
9,757,1
9,758,1
9,759,1
9,760,1
9,761,1
9,762,1
9,763,1
9,764,1
9,765,1
9,766,1
9,767,1
9,768,1
9,769,1
9,770,1
9,771,1
9,772,1
9,773,1
9,774,1
9,775,1
9,776,1
9,777,1
9,778,1
9,779,1
9,780,1
9,781,1
9,782,1
9,783,1
9,784,1
9,785,1
9,786,1
9,787,1
9,788,1
9,789,1
9,790,1
9,791,1
9,792,1
9,793,1
9,794,1
9,795,1
9,796,1
9,797,1
9,798,1
9,799,1
9,800,1
9,801,1
9,802,1
9,803,1
9,804,1
9,805,1
9,806,1
9,807,1
9,808,1
9,809,1
9,810,1
9,811,1
9,812,1
9,813,1
9,814,1
9,815,1
9,816,1
9,817,1
9,818,1
9,819,1
9,820,1
9,821,1
9,822,1
10,23,1
10,31,1
10,32,1
10,39,1
10,52,1
10,58,1
10,80,1
10,99,1
10,126,1
10,131,1
10,148,1
10,252,1
10,256,1
10,262,1
10,270,1
10,273,1
10,280,1
10,305,1
10,315,1
10,316,1
10,331,1
10,399,1
10,401,1
10,420,1
10,462,1
10,493,1
10,611,1
10,659,1
10,666,1
10,678,1
10,685,1
10,707,1
10,712,1
10,814,1
10,823,1
10,824,1
10,825,1
10,826,1
10,827,1
10,828,1
10,829,1
10,830,1
10,831,1
10,832,1
10,833,1
10,834,1
10,835,1
10,836,1
10,837,1
10,838,1
10,839,1
10,840,1
10,841,1
10,842,1
10,843,1
10,844,1
10,845,1
10,846,1
10,847,1
10,848,1
10,849,1
10,850,1
10,851,1
10,852,1
10,853,1
10,854,1
10,855,1
10,856,1
10,857,1
10,858,1
11,8,1
11,58,1
11,80,1
11,87,1
11,101,1
11,131,1
11,161,1
11,176,1
11,252,1
11,255,1
11,267,1
11,270,1
11,299,1
11,302,1
11,325,1
11,358,1
11,365,1
11,416,1
11,423,1
11,472,1
11,493,1
11,545,1
11,583,1
11,598,1
11,680,1
11,716,1
11,727,1
11,859,1
11,860,1
11,861,1
11,862,1
11,863,1
11,864,1
11,865,1
11,866,1
11,867,1
11,868,1
11,869,1
11,870,1
11,871,1
11,872,1
11,873,1
11,874,1
11,875,1
11,876,1
11,877,1
11,878,1
11,879,1
11,880,1
11,881,1
11,882,1
11,883,1
11,884,1
11,885,1
11,886,1
11,887,1
11,888,1
11,889,1
11,890,1
11,891,1
11,892,1
11,893,1
11,894,1
11,895,1
11,896,1
11,897,1
11,898,1
11,899,1
11,900,1
11,901,1
11,902,1
11,903,1
11,904,1
11,905,1
11,906,1
11,907,1
11,908,1
11,909,1
11,910,1
11,911,1
11,912,1
11,913,1
11,914,1
11,915,1
11,916,1
11,917,1
11,918,1
11,919,1
11,920,1
11,921,1
11,922,1
11,923,1
11,924,1
11,925,1
11,926,1
11,927,1
11,928,1
11,929,1
11,930,1
11,931,1
11,932,1
11,933,1
11,934,1
11,935,1
11,936,1
11,937,1
11,938,1
11,939,1
11,940,1
11,941,1
11,942,1
11,943,1
11,944,1
11,945,1
11,946,1
11,947,1
11,948,1
11,949,1
11,950,1
11,951,1
11,952,1
11,953,1
11,954,1
11,955,1
11,956,1
11,957,1
11,958,1
11,959,1
11,960,1
11,961,1
11,962,1
12,8,1
12,9,1
12,23,1
12,31,1
12,32,1
12,34,1
12,45,1
12,46,1
12,49,1
12,50,1
12,52,1
12,54,1
12,57,1
12,60,1
12,61,1
12,64,1
12,70,1
12,80,1
12,82,1
12,84,1
12,87,1
12,91,1
12,94,1
12,95,1
12,101,1
12,104,1
12,106,1
12,107,1
12,113,1
12,115,1
12,125,1
12,126,1
12,127,1
12,128,1
12,129,1
12,131,1
12,132,1
12,134,1
12,152,1
12,161,1
12,166,1
12,167,1
12,179,1
12,186,1
12,229,1
12,235,1
12,248,1
12,251,1
12,255,1
12,260,1
12,262,1
12,267,1
12,268,1
12,270,1
12,272,1
12,273,1
12,277,1
12,280,1
12,281,1
12,282,1
12,285,1
12,305,1
12,310,1
12,311,1
12,324,1
12,342,1
12,372,1
12,379,1
12,390,1
12,391,1
12,408,1
12,409,1
12,415,1
12,472,1
12,483,1
12,486,1
12,498,1
12,525,1
12,538,1
12,548,1
