experiment_id,interaction_id,member_indices_zero_based,member_names,interaction_order,interaction_bonus
L1_contextual_tail_low8,1,0|1,high_1|high_2,2,0.16
L1_contextual_tail_low8,2,1|2|3,high_2|high_3|high_4,3,0.089999999999999997
L1_contextual_tail_low8,3,2|4,high_3|low_1,2,0.0050000000000000001
L1_contextual_tail_low8,4,2|5,high_3|low_2,2,0.0050000000000000001
L1_contextual_tail_low8,5,2|6,high_3|low_3,2,0.0050000000000000001
L1_contextual_tail_low8,6,2|7,high_3|low_4,2,0.0050000000000000001
L1_contextual_tail_low8,7,2|8,high_3|low_5,2,0.0050000000000000001
L1_contextual_tail_low8,8,2|9,high_3|low_6,2,0.0050000000000000001
L1_contextual_tail_low8,9,2|10,high_3|low_7,2,0.0050000000000000001
L1_contextual_tail_low8,10,2|11,high_3|low_8,2,0.0050000000000000001
L1_contextual_tail_low16,1,0|1,high_1|high_2,2,0.16
L1_contextual_tail_low16,2,1|2|3,high_2|high_3|high_4,3,0.089999999999999997
L1_contextual_tail_low16,3,2|4,high_3|low_1,2,0.0025000000000000001
L1_contextual_tail_low16,4,2|5,high_3|low_2,2,0.0025000000000000001
L1_contextual_tail_low16,5,2|6,high_3|low_3,2,0.0025000000000000001
L1_contextual_tail_low16,6,2|7,high_3|low_4,2,0.0025000000000000001
L1_contextual_tail_low16,7,2|8,high_3|low_5,2,0.0025000000000000001
L1_contextual_tail_low16,8,2|9,high_3|low_6,2,0.0025000000000000001
L1_contextual_tail_low16,9,2|10,high_3|low_7,2,0.0025000000000000001
L1_contextual_tail_low16,10,2|11,high_3|low_8,2,0.0025000000000000001
L1_contextual_tail_low16,11,2|12,high_3|low_9,2,0.0025000000000000001
L1_contextual_tail_low16,12,2|13,high_3|low_10,2,0.0025000000000000001
L1_contextual_tail_low16,13,2|14,high_3|low_11,2,0.0025000000000000001
L1_contextual_tail_low16,14,2|15,high_3|low_12,2,0.0025000000000000001
L1_contextual_tail_low16,15,2|16,high_3|low_13,2,0.0025000000000000001
L1_contextual_tail_low16,16,2|17,high_3|low_14,2,0.0025000000000000001
L1_contextual_tail_low16,17,2|18,high_3|low_15,2,0.0025000000000000001
L1_contextual_tail_low16,18,2|19,high_3|low_16,2,0.0025000000000000001
L1_contextual_tail_low32,1,0|1,high_1|high_2,2,0.16
L1_contextual_tail_low32,2,1|2|3,high_2|high_3|high_4,3,0.089999999999999997
L1_contextual_tail_low32,3,2|4,high_3|low_1,2,0.00125
L1_contextual_tail_low32,4,2|5,high_3|low_2,2,0.00125
L1_contextual_tail_low32,5,2|6,high_3|low_3,2,0.00125
L1_contextual_tail_low32,6,2|7,high_3|low_4,2,0.00125
L1_contextual_tail_low32,7,2|8,high_3|low_5,2,0.00125
L1_contextual_tail_low32,8,2|9,high_3|low_6,2,0.00125
L1_contextual_tail_low32,9,2|10,high_3|low_7,2,0.00125
L1_contextual_tail_low32,10,2|11,high_3|low_8,2,0.00125
L1_contextual_tail_low32,11,2|12,high_3|low_9,2,0.00125
L1_contextual_tail_low32,12,2|13,high_3|low_10,2,0.00125
L1_contextual_tail_low32,13,2|14,high_3|low_11,2,0.00125
L1_contextual_tail_low32,14,2|15,high_3|low_12,2,0.00125
L1_contextual_tail_low32,15,2|16,high_3|low_13,2,0.00125
L1_contextual_tail_low32,16,2|17,high_3|low_14,2,0.00125
L1_contextual_tail_low32,17,2|18,high_3|low_15,2,0.00125
L1_contextual_tail_low32,18,2|19,high_3|low_16,2,0.00125
L1_contextual_tail_low32,19,2|20,high_3|low_17,2,0.00125
L1_contextual_tail_low32,20,2|21,high_3|low_18,2,0.00125
L1_contextual_tail_low32,21,2|22,high_3|low_19,2,0.00125
L1_contextual_tail_low32,22,2|23,high_3|low_20,2,0.00125
L1_contextual_tail_low32,23,2|24,high_3|low_21,2,0.00125
L1_contextual_tail_low32,24,2|25,high_3|low_22,2,0.00125
L1_contextual_tail_low32,25,2|26,high_3|low_23,2,0.00125
L1_contextual_tail_low32,26,2|27,high_3|low_24,2,0.00125
L1_contextual_tail_low32,27,2|28,high_3|low_25,2,0.00125
L1_contextual_tail_low32,28,2|29,high_3|low_26,2,0.00125
L1_contextual_tail_low32,29,2|30,high_3|low_27,2,0.00125
L1_contextual_tail_low32,30,2|31,high_3|low_28,2,0.00125
L1_contextual_tail_low32,31,2|32,high_3|low_29,2,0.00125
L1_contextual_tail_low32,32,2|33,high_3|low_30,2,0.00125
L1_contextual_tail_low32,33,2|34,high_3|low_31,2,0.00125
L1_contextual_tail_low32,34,2|35,high_3|low_32,2,0.00125
L2_hidden_interaction_order2_low16,1,3|4,hidden_interaction_1|hidden_interaction_2,2,0.12
L2_hidden_interaction_order3_low16,1,3|4|5,hidden_interaction_1|hidden_interaction_2|hidden_interaction_3,3,0.17999999999999999
G1_balanced_interaction,1,0|1,ordinary_1|ordinary_2,2,0.029999999999999999
G1_balanced_interaction,2,1|2,ordinary_2|ordinary_3,2,0.029999999999999999
G1_balanced_interaction,3,2|3,ordinary_3|ordinary_4,2,0.029999999999999999
G1_balanced_interaction,4,3|4,ordinary_4|ordinary_5,2,0.029999999999999999
G1_balanced_interaction,5,4|5,ordinary_5|ordinary_6,2,0.029999999999999999
G1_balanced_interaction,6,5|6,ordinary_6|ordinary_7,2,0.029999999999999999
G1_balanced_interaction,7,6|7,ordinary_7|ordinary_8,2,0.029999999999999999
G1_balanced_interaction,8,7|8,ordinary_8|ordinary_9,2,0.029999999999999999
G1_balanced_interaction,9,8|9,ordinary_9|ordinary_10,2,0.029999999999999999
G1_balanced_interaction,10,9|10,ordinary_10|ordinary_11,2,0.029999999999999999
G1_balanced_interaction,11,10|11,ordinary_11|ordinary_12,2,0.029999999999999999
G1_balanced_interaction,12,11|0,ordinary_12|ordinary_1,2,0.029999999999999999
