sample_id,alcohol,malic_acid,ash,alcalinity_of_ash,magnesium,total_phenols,flavanoids,nonflavanoid_phenols,proanthocyanins,color_intensity,hue,od280_od315_of_diluted_wines,proline,target,target_label
0,14.23,1.71,2.4300000000000002,15.6,127,2.7999999999999998,3.0600000000000001,0.28000000000000003,2.29,5.6399999999999997,1.04,3.9199999999999999,1065,0,class_0
1,13.199999999999999,1.78,2.1400000000000001,11.199999999999999,100,2.6499999999999999,2.7599999999999998,0.26000000000000001,1.28,4.3799999999999999,1.05,3.3999999999999999,1050,0,class_0
2,13.16,2.3599999999999999,2.6699999999999999,18.600000000000001,101,2.7999999999999998,3.2400000000000002,0.29999999999999999,2.8100000000000001,5.6799999999999997,1.03,3.1699999999999999,1185,0,class_0
3,14.369999999999999,1.95,2.5,16.800000000000001,113,3.8500000000000001,3.4900000000000002,0.23999999999999999,2.1800000000000002,7.7999999999999998,0.85999999999999999,3.4500000000000002,1480,0,class_0
4,13.24,2.5899999999999999,2.8700000000000001,21,118,2.7999999999999998,2.6899999999999999,0.39000000000000001,1.8200000000000001,4.3200000000000003,1.04,2.9300000000000002,735,0,class_0
5,14.199999999999999,1.76,2.4500000000000002,15.199999999999999,112,3.27,3.3900000000000001,0.34000000000000002,1.97,6.75,1.05,2.8500000000000001,1450,0,class_0
6,14.390000000000001,1.8700000000000001,2.4500000000000002,14.6,96,2.5,2.52,0.29999999999999999,1.98,5.25,1.02,3.5800000000000001,1290,0,class_0
7,14.06,2.1499999999999999,2.6099999999999999,17.600000000000001,121,2.6000000000000001,2.5099999999999998,0.31,1.25,5.0499999999999998,1.0600000000000001,3.5800000000000001,1295,0,class_0
8,14.83,1.6399999999999999,2.1699999999999999,14,97,2.7999999999999998,2.98,0.28999999999999998,1.98,5.2000000000000002,1.0800000000000001,2.8500000000000001,1045,0,class_0
9,13.859999999999999,1.3500000000000001,2.27,16,98,2.98,3.1499999999999999,0.22,1.8500000000000001,7.2199999999999998,1.01,3.5499999999999998,1045,0,class_0
