sample_index_zero_based,sepal_length,sepal_width,petal_length,petal_width,synthetic_low_1,synthetic_low_2,synthetic_low_3,synthetic_low_4,synthetic_low_5,synthetic_low_6,synthetic_low_7,synthetic_low_8,target_code,target_label
0,5.0999999999999996,3.5,1.3999999999999999,0.20000000000000001,2,2,1,1,2,2,1,2,0,setosa
1,4.9000000000000004,3,1.3999999999999999,0.20000000000000001,1,2,2,2,1,1,1,1,0,setosa
2,4.7000000000000002,3.2000000000000002,1.3,0.20000000000000001,2,1,2,1,1,1,1,1,0,setosa
3,4.5999999999999996,3.1000000000000001,1.5,0.20000000000000001,1,2,1,2,2,2,1,2,0,setosa
4,5,3.6000000000000001,1.3999999999999999,0.20000000000000001,2,2,1,1,1,1,1,2,0,setosa
5,5.4000000000000004,3.8999999999999999,1.7,0.40000000000000002,2,1,2,1,2,1,1,2,0,setosa
6,4.5999999999999996,3.3999999999999999,1.3999999999999999,0.29999999999999999,1,1,2,1,1,1,1,1,0,setosa
7,5,3.3999999999999999,1.5,0.20000000000000001,2,2,1,1,1,2,2,2,0,setosa
8,4.4000000000000004,2.8999999999999999,1.3999999999999999,0.20000000000000001,2,2,1,1,1,1,2,1,0,setosa
9,4.9000000000000004,3.1000000000000001,1.5,0.10000000000000001,2,2,2,2,1,1,2,2,0,setosa
10,5.4000000000000004,3.7000000000000002,1.5,0.20000000000000001,2,2,1,2,2,2,1,1,0,setosa
11,4.7999999999999998,3.3999999999999999,1.6000000000000001,0.20000000000000001,2,1,1,1,2,1,2,1,0,setosa
12,4.7999999999999998,3,1.3999999999999999,0.10000000000000001,1,1,2,2,2,1,1,2,0,setosa
13,4.2999999999999998,3,1.1000000000000001,0.10000000000000001,1,1,1,2,2,2,1,2,0,setosa
14,5.7999999999999998,4,1.2,0.20000000000000001,1,2,2,2,1,1,1,2,0,setosa
15,5.7000000000000002,4.4000000000000004,1.5,0.40000000000000002,1,1,2,1,1,1,2,1,0,setosa
16,5.4000000000000004,3.8999999999999999,1.3,0.40000000000000002,1,1,1,2,2,1,1,1,0,setosa
17,5.0999999999999996,3.5,1.3999999999999999,0.29999999999999999,1,2,2,1,1,2,2,1,0,setosa
18,5.7000000000000002,3.7999999999999998,1.7,0.29999999999999999,2,1,1,1,1,2,1,2,0,setosa
19,5.0999999999999996,3.7999999999999998,1.5,0.29999999999999999,1,1,2,2,1,1,1,1,0,setosa
