sample_id,synthetic_low_1,synthetic_low_2,synthetic_low_3,synthetic_low_4,synthetic_low_5,synthetic_low_6,synthetic_low_7,synthetic_low_8
0,2,2,1,1,2,2,1,2
1,1,2,2,2,1,1,1,1
2,2,1,2,1,1,1,1,1
3,1,2,1,2,2,2,1,2
4,2,2,1,1,1,1,1,2
5,2,1,2,1,2,1,1,2
6,1,1,2,1,1,1,1,1
7,2,2,1,1,1,2,2,2
8,2,2,1,1,1,1,2,1
9,2,2,2,2,1,1,2,2
10,2,2,1,2,2,2,1,1
11,2,1,1,1,2,1,2,1
12,1,1,2,2,2,1,1,2
13,1,1,1,2,2,2,1,2
14,1,2,2,2,1,1,1,2
15,1,1,2,1,1,1,2,1
16,1,1,1,2,2,1,1,1
17,1,2,2,1,1,2,2,1
18,2,1,1,1,1,2,1,2
19,1,1,2,2,1,1,1,1
20,2,1,1,2,1,1,2,2
21,1,2,2,1,1,2,2,1
22,2,2,2,2,1,1,2,1
23,2,1,2,2,2,2,1,2
24,2,2,1,2,1,2,2,2
25,2,1,1,1,2,1,1,2
26,1,2,2,2,1,2,1,2
27,1,1,1,2,1,1,2,1
28,1,1,1,1,2,2,1,1
29,2,1,2,1,2,2,2,2
30,2,1,1,2,2,2,2,1
31,2,2,1,2,2,1,1,2
32,2,1,2,2,1,1,2,1
33,2,2,1,1,2,1,1,1
34,2,1,1,2,1,1,1,1
35,1,2,2,1,2,1,2,1
36,2,1,2,1,2,2,1,2
37,1,1,1,2,2,1,2,1
38,1,2,1,1,2,2,1,2
39,1,2,2,2,2,2,1,2
40,2,2,2,2,2,1,1,2
41,1,2,2,2,2,1,2,1
42,2,2,1,2,1,1,1,2
43,2,1,2,2,2,1,2,1
44,2,2,1,2,2,2,1,1
45,1,2,2,1,1,1,2,2
46,2,1,2,2,1,2,2,1
47,2,1,1,2,2,2,2,1
48,1,1,2,2,1,1,1,1
49,1,2,1,2,1,2,2,1
50,1,1,2,1,2,1,2,2
51,2,2,1,1,1,1,1,1
52,1,2,1,2,1,2,1,1
53,1,2,1,2,2,1,2,1
54,2,2,2,2,1,2,1,1
55,2,2,2,1,1,2,1,1
56,1,2,1,1,1,2,2,2
57,2,1,2,1,1,2,1,1
58,2,1,1,1,2,1,2,2
59,2,2,2,2,1,2,2,1
60,2,1,1,2,2,2,2,1
61,2,1,1,2,2,1,2,2
62,1,1,1,2,1,2,2,1
63,2,1,1,1,2,1,1,2
64,1,1,1,1,2,1,2,2
65,2,1,1,2,1,2,1,1
66,1,1,1,1,1,2,2,1
67,2,1,2,2,1,1,2,2
68,1,1,1,1,2,1,1,1
69,1,1,1,2,2,1,2,1
70,2,1,1,1,2,2,1,2
71,1,2,2,1,1,1,1,2
72,1,1,1,2,2,1,2,2
73,2,1,2,2,1,1,1,1
74,2,2,1,1,2,2,1,2
75,2,2,1,1,1,2,2,2
76,1,2,1,2,1,2,1,2
77,1,2,1,2,1,2,1,1
78,1,1,2,1,2,1,2,2
79,1,2,2,1,1,2,2,2
80,1,1,2,1,1,1,2,2
81,1,1,2,1,1,2,1,2
82,1,1,2,1,1,2,2,1
83,2,2,1,1,1,1,1,2
84,2,1,2,1,1,1,1,2
85,2,2,2,2,1,1,2,1
86,2,2,1,2,1,1,2,1
87,1,1,1,1,1,1,2,1
88,2,2,1,1,2,1,2,2
89,2,2,1,2,1,2,1,1
90,2,2,2,1,2,1,1,1
91,1,2,2,2,2,1,1,1
92,1,1,2,2,2,2,1,1
93,1,2,2,1,2,1,1,2
94,1,2,1,1,2,2,1,2
95,2,2,2,2,2,1,2,2
96,1,2,2,1,1,2,2,1
97,2,2,2,2,2,2,1,1
98,1,1,2,1,1,2,2,1
99,2,1,1,2,2,1,1,2
100,1,2,1,2,1,2,1,1
101,1,1,1,1,2,2,2,2
102,2,2,1,1,1,2,2,2
103,2,2,2,2,1,1,1,2
104,2,2,1,2,2,1,2,2
105,2,2,1,1,1,1,1,2
106,1,1,1,2,2,1,1,2
107,1,1,1,2,2,2,1,2
108,1,1,1,2,1,2,1,1
109,2,1,2,1,1,2,2,1
110,2,1,1,1,1,1,1,2
111,2,1,2,2,1,2,1,2
112,1,1,1,2,1,2,2,2
113,1,1,1,2,1,1,2,2
114,2,1,2,1,2,1,1,1
115,2,1,1,1,2,2,1,2
116,2,2,1,2,1,1,2,1
117,2,2,2,1,1,1,1,1
118,2,2,2,1,1,2,1,1
119,1,1,2,2,2,1,2,1
120,1,2,1,2,2,2,2,1
121,1,1,2,1,1,1,2,2
122,1,1,1,1,1,2,2,2
123,1,1,2,1,2,1,1,2
124,1,2,2,2,1,1,2,2
125,1,1,2,1,2,1,2,1
126,1,1,2,2,2,1,1,2
127,1,2,2,1,1,2,2,1
128,1,1,1,1,1,1,2,2
129,1,1,2,2,1,2,2,2
130,2,2,1,2,1,1,1,1
131,1,2,2,2,1,2,1,2
132,2,2,2,1,1,2,2,1
133,1,2,2,2,1,1,2,2
134,2,2,2,1,1,1,2,1
135,2,1,1,2,2,2,1,1
136,2,2,2,2,1,2,2,2
137,2,1,2,1,1,1,2,2
138,1,2,2,1,2,2,1,1
139,2,1,2,1,1,1,2,2
140,2,2,1,2,1,1,2,1
141,1,1,1,1,1,2,2,1
142,1,1,2,2,1,2,1,1
143,1,2,1,1,1,1,2,2
144,1,1,2,1,2,2,1,2
145,2,1,2,2,1,1,2,1
146,2,1,2,2,2,1,2,2
147,2,1,2,2,1,2,1,1
148,2,2,1,2,1,2,2,2
149,2,2,2,1,2,2,1,1
