experiment,scenario,dataset,algorithm,value_quantifier,method_variant,artificial_low_count,interaction_order,equivalent_mc_paths,contribution_threshold,threshold_mode,relative_threshold_factor,effective_contribution_threshold,feature_subset_count,feature_subset_seed,replicates,runtime_seconds_mean,runtime_seconds_std,coalition_evaluation_requests_mean,coalition_evaluation_requests_std,unique_value_evaluations_mean,unique_value_evaluations_std,actual_value_function_calls_mean,actual_value_function_calls_std,total_marginal_samples_mean,total_marginal_samples_std,marginal_sample_reduction_vs_mc_mean,marginal_sample_reduction_vs_mc_std,request_reduction_vs_mc_mean,request_reduction_vs_mc_std,all_nmae_mean,all_nmae_std,all_rmse_mean,all_rmse_std,spearman_mean,spearman_std,high_nmae_mean,high_nmae_std,high_rmse_mean,high_rmse_std,high_recall_mean,high_recall_std,high_precision_mean,high_precision_std,low_recall_mean,low_recall_std,low_precision_mean,low_precision_std,tail_total_abs_error_mean,tail_total_abs_error_std,known_low_capture_ratio_mean,known_low_capture_ratio_std,candidate_low_screening_ratio_mean,candidate_low_screening_ratio_std,artificial_reference_low_rate_mean,artificial_reference_low_rate_std,verified_artificial_low_recall_mean,verified_artificial_low_recall_std,mean_true_high_samples_mean,mean_true_high_samples_std,mean_true_low_samples_mean,mean_true_low_samples_std,low_to_high_sampling_ratio_mean,low_to_high_sampling_ratio_std,max_estimated_certified_low_contribution_mean,max_estimated_certified_low_contribution_std,high_group_count_mean,high_group_count_std,low_group_count_mean,low_group_count_std,group_checks_mean,group_checks_std,triggered_coalition_audits_mean,triggered_coalition_audits_std,focused_selection_rate,adaptive_sampling_rate
g1_synthetic_general,balanced_interaction,synthetic,analytic_reference,dataset_default,default,0,0,0,0.04,relative,0.5,0.041666666666666664,0,11,1,0.00020940000104019418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
g1_synthetic_general,balanced_interaction,synthetic,antithetic_mc,dataset_default,default,0,0,100,0.04,relative,0.5,0.041666666666666664,0,11,5,0.004964500000278349,0.0003513016007549811,1200.0,0.0,755.6,14.791889669680478,755.6,14.791889669680478,1200.0,0.0,0.0,0.0,0.0,0.0,3.307539427529112e-17,1.862259743227913e-17,6.178752733208912e-17,4.3593825471327176e-17,0.0,0.0,3.307539427529112e-17,1.862259743227913e-17,6.178752733208912e-17,4.3593825471327176e-17,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,100.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
g1_synthetic_general,balanced_interaction,synthetic,dtg_shapley,dataset_default,default,0,0,100,0.04,relative,0.5,0.041666666666666664,0,11,5,0.013397840000106954,0.0013915931616998879,1202.0,0.0,755.6,14.791889669680478,755.6,14.791889669680478,1200.0,0.0,0.0,0.0,0.0,0.0,3.307539427529112e-17,1.862259743227913e-17,6.178752733208912e-17,4.3593825471327176e-17,0.0,0.0,3.307539427529112e-17,1.862259743227913e-17,6.178752733208912e-17,4.3593825471327176e-17,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,100.0,0.0,,0.0,,0.0,,0.0,12.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0
g1_synthetic_general,balanced_interaction,synthetic,kernel_shap,dataset_default,default,0,0,100,0.04,relative,0.5,0.041666666666666664,0,11,5,0.017542239999966115,0.0014156514474453926,1202.0,0.0,806.8,8.136338242723197,806.8,8.136338242723197,,0.0,,0.0,-0.0016666666666667052,0.0,0.004207772356299,0.0004732057099880169,0.005326312206747078,0.0006544985992866903,0.0,0.0,0.004207772356299,0.0004732057099880169,0.005326312206747078,0.00065449859928669,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
g1_synthetic_general,balanced_interaction,synthetic,mc,dataset_default,default,0,0,100,0.04,relative,0.5,0.041666666666666664,0,11,5,0.006811980000202311,0.00031944589059065105,1200.0,0.0,750.4,10.064790112068906,750.4,10.064790112068906,1200.0,0.0,0.0,0.0,0.0,0.0,0.0018299999999999961,0.0007620695506316944,0.002268618164585159,0.0008495378326730345,0.0,0.0,0.0018299999999999961,0.0007620695506316944,0.002268618164585159,0.0008495378326730345,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,100.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
g1_synthetic_general,balanced_interaction,synthetic,stratified,dataset_default,default,0,0,100,0.04,relative,0.5,0.041666666666666664,0,11,5,0.007878119999804766,0.0018878552700605858,1202.0,0.0,735.8,5.718391382198319,735.8,5.718391382198319,600.0,0.0,0.5,0.0,-0.0016666666666667052,0.0,0.0017824299125569446,0.0002922282342463037,0.0021278262931047273,0.0002572425728787691,0.0,0.0,0.0017824299125569446,0.0002922282342463037,0.0021278262931047273,0.0002572425728787691,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,50.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
g1_synthetic_general,balanced_interaction,synthetic,tmc,dataset_default,default,0,0,100,0.04,relative,0.5,0.041666666666666664,0,11,5,0.00524145999988832,0.0003474794563819128,1202.0,0.0,750.4,10.064790112068906,750.4,10.064790112068906,1200.0,0.0,0.0,0.0,-0.0016666666666667052,0.0,0.0018299999999999961,0.0007620695506316944,0.002268618164585159,0.0008495378326730345,0.0,0.0,0.0018299999999999961,0.0007620695506316944,0.002268618164585159,0.0008495378326730345,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,100.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
g2_public_general,public_compatibility,iris,antithetic_mc,mutual_information,default,0,0,100,0.04,relative,0.5,0.125,0,11,3,0.016714233333307977,0.0009873110978713738,400.0,0.0,16.0,0.0,16.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.00928678694104878,0.0035431397071613306,0.011550069887113832,0.006008988663078835,0.9333333333333332,0.11547005383792512,0.00928678694104878,0.0035431397071613306,0.01155006988711383,0.006008988663078832,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,100.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
g2_public_general,public_compatibility,iris,antithetic_mc,holdout_naive_bayes,default,0,0,100,0.04,relative,0.5,0.125,0,11,3,0.0030578666664951015,0.00018734485148942613,400.0,0.0,16.0,0.0,16.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.004367495772313946,0.0028537866102235645,0.004731827243408913,0.002581878923004292,1.0,0.0,0.0038663743553451666,0.0033005780056474033,0.0041676120127012925,0.0030625986768180067,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.002528921891381599,0.0011411207085612783,,0.0,,0.0,,0.0,,0.0,100.0,0.0,100.0,0.0,1.0,0.0,0.042056611645917286,0.0016320772336907714,,0.0,,0.0,,0.0,,0.0,0.0,0.0
g2_public_general,public_compatibility,iris,dtg_shapley,mutual_information,default,0,0,100,0.04,relative,0.5,0.125,0,11,3,0.021140733332989232,0.0007308572587744676,402.0,0.0,16.0,0.0,16.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.00928678694104878,0.0035431397071613306,0.011550069887113832,0.006008988663078835,0.9333333333333332,0.11547005383792512,0.00928678694104878,0.0035431397071613306,0.01155006988711383,0.006008988663078832,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,100.0,0.0,,0.0,,0.0,,0.0,4.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0
