case_id,experiment,scenario,dataset,algorithm,value_quantifier,method_variant,reference_group,seed,artificial_low_count,interaction_order,equivalent_mc_paths,feature_subset_count,feature_subset_seed,contribution_threshold,threshold_mode,relative_threshold_factor,effective_contribution_threshold,runtime_seconds,mode,high_group_count,low_group_count,group_checks,triggered_coalition_audits,coalition_evaluation_requests,unique_value_evaluations,actual_value_function_calls,total_marginal_samples,marginal_sample_reduction_vs_mc,request_reduction_vs_mc,known_low_capture_ratio,candidate_low_screening_ratio,reference_case_id,reference_algorithm,all_nmae,all_rmse,spearman,high_nmae,high_rmse,high_recall,high_precision,low_recall,low_precision,tail_total_abs_error,true_high_count,true_low_count,mean_true_high_samples,mean_true_low_samples,low_to_high_sampling_ratio,artificial_reference_low_rate,verified_artificial_low_recall,max_estimated_certified_low_contribution
g1_synthetic_general__balanced_interaction__synthetic__low0__seed11__analytic_reference__b0__04fe284a75d1,g1_synthetic_general,balanced_interaction,synthetic,analytic_reference,dataset_default,default,balanced_interaction_low0_order0,11,0,0,0,0,11,0.04,relative,0.5,0.041666666666666664,0.00020940000104019418,analytic_reference,,,,,0,0,0,,,,,,g1_synthetic_general__balanced_interaction__synthetic__low0__seed11__analytic_reference__b0__04fe284a75d1,analytic_reference,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0,12,0,,,,,,
g1_synthetic_general__balanced_interaction__synthetic__low0__seed11__antithetic_mc__b100__ed0d87839fe0,g1_synthetic_general,balanced_interaction,synthetic,antithetic_mc,dataset_default,default,balanced_interaction_low0_order0,11,0,0,100,0,11,0.04,relative,0.5,0.041666666666666664,0.005567399999563349,,,,,,1200,736,736,1200,0.0,0.0,,,g1_synthetic_general__balanced_interaction__synthetic__low0__seed11__analytic_reference__b0__04fe284a75d1,analytic_reference,3.700743415417188e-17,7.211110073938365e-17,0.0,3.700743415417188e-17,7.211110073938365e-17,1.0,1.0,1.0,1.0,0,12,0,100.0,,,,,
g1_synthetic_general__balanced_interaction__synthetic__low0__seed11__dtg_shapley__b100__80746c6aef6a,g1_synthetic_general,balanced_interaction,synthetic,dtg_shapley,dataset_default,default,balanced_interaction_low0_order0,11,0,0,100,0,11,0.04,relative,0.5,0.041666666666666664,0.01572149999992689,uniform_mc_natural_fallback,12,0,24,0,1202,736,736,1200,0.0,0.0,,,g1_synthetic_general__balanced_interaction__synthetic__low0__seed11__analytic_reference__b0__04fe284a75d1,analytic_reference,3.700743415417188e-17,7.211110073938365e-17,0.0,3.700743415417188e-17,7.211110073938365e-17,1.0,1.0,1.0,1.0,0,12,0,100.0,,,,,
g1_synthetic_general__balanced_interaction__synthetic__low0__seed11__kernel_shap__b100__3e7c4ae05046,g1_synthetic_general,balanced_interaction,synthetic,kernel_shap,dataset_default,default,balanced_interaction_low0_order0,11,0,0,100,0,11,0.04,relative,0.5,0.041666666666666664,0.018556699998953263,,,,,,1202,809,809,,,-0.0016666666666667052,,,g1_synthetic_general__balanced_interaction__synthetic__low0__seed11__analytic_reference__b0__04fe284a75d1,analytic_reference,0.0035709204465773927,0.004755649282785625,0.0,0.0035709204465773927,0.004755649282785625,1.0,1.0,1.0,1.0,0,12,0,,,,,,
g1_synthetic_general__balanced_interaction__synthetic__low0__seed11__mc__b100__cc04f4fdf354,g1_synthetic_general,balanced_interaction,synthetic,mc,dataset_default,default,balanced_interaction_low0_order0,11,0,0,100,0,11,0.04,relative,0.5,0.041666666666666664,0.007107100000212085,,,,,,1200,751,751,1200,0.0,0.0,,,g1_synthetic_general__balanced_interaction__synthetic__low0__seed11__analytic_reference__b0__04fe284a75d1,analytic_reference,0.0028999999999999976,0.003541186241925153,0.0,0.0028999999999999976,0.003541186241925153,1.0,1.0,1.0,1.0,0,12,0,100.0,,,,,
g1_synthetic_general__balanced_interaction__synthetic__low0__seed11__stratified__b100__15666d65c757,g1_synthetic_general,balanced_interaction,synthetic,stratified,dataset_default,default,balanced_interaction_low0_order0,11,0,0,100,0,11,0.04,relative,0.5,0.041666666666666664,0.0074956999997084495,,,,,,1202,726,726,600,0.5,-0.0016666666666667052,,,g1_synthetic_general__balanced_interaction__synthetic__low0__seed11__analytic_reference__b0__04fe284a75d1,analytic_reference,0.0019107418051564073,0.0023867494890004,0.0,0.0019107418051564073,0.0023867494890004,1.0,1.0,1.0,1.0,0,12,0,50.0,,,,,
g1_synthetic_general__balanced_interaction__synthetic__low0__seed11__tmc__b100__ee87df8c0973,g1_synthetic_general,balanced_interaction,synthetic,tmc,dataset_default,default,balanced_interaction_low0_order0,11,0,0,100,0,11,0.04,relative,0.5,0.041666666666666664,0.0056240999983856454,,,,,,1202,751,751,1200,0.0,-0.0016666666666667052,,,g1_synthetic_general__balanced_interaction__synthetic__low0__seed11__analytic_reference__b0__04fe284a75d1,analytic_reference,0.0028999999999999976,0.003541186241925153,0.0,0.0028999999999999976,0.003541186241925153,1.0,1.0,1.0,1.0,0,12,0,100.0,,,,,
g1_synthetic_general__balanced_interaction__synthetic__low0__seed23__antithetic_mc__b100__71b08581cd1f,g1_synthetic_general,balanced_interaction,synthetic,antithetic_mc,dataset_default,default,balanced_interaction_low0_order0,23,0,0,100,0,11,0.04,relative,0.5,0.041666666666666664,0.004841699999815319,,,,,,1200,766,766,1200,0.0,0.0,,,g1_synthetic_general__balanced_interaction__synthetic__low0__seed11__analytic_reference__b0__04fe284a75d1,analytic_reference,5.4354668913939954e-17,1.2263075871258265e-16,0.0,5.4354668913939954e-17,1.2263075871258265e-16,1.0,1.0,1.0,1.0,0,12,0,100.0,,,,,
g1_synthetic_general__balanced_interaction__synthetic__low0__seed23__dtg_shapley__b100__85cd4defe527,g1_synthetic_general,balanced_interaction,synthetic,dtg_shapley,dataset_default,default,balanced_interaction_low0_order0,23,0,0,100,0,11,0.04,relative,0.5,0.041666666666666664,0.012636499999644002,uniform_mc_natural_fallback,12,0,24,0,1202,766,766,1200,0.0,0.0,,,g1_synthetic_general__balanced_interaction__synthetic__low0__seed11__analytic_reference__b0__04fe284a75d1,analytic_reference,5.4354668913939954e-17,1.2263075871258265e-16,0.0,5.4354668913939954e-17,1.2263075871258265e-16,1.0,1.0,1.0,1.0,0,12,0,100.0,,,,,
g1_synthetic_general__balanced_interaction__synthetic__low0__seed23__kernel_shap__b100__d82c0ae6697d,g1_synthetic_general,balanced_interaction,synthetic,kernel_shap,dataset_default,default,balanced_interaction_low0_order0,23,0,0,100,0,11,0.04,relative,0.5,0.041666666666666664,0.017182400000820053,,,,,,1202,807,807,,,-0.0016666666666667052,,,g1_synthetic_general__balanced_interaction__synthetic__low0__seed11__analytic_reference__b0__04fe284a75d1,analytic_reference,0.004531272035451848,0.005239097019138197,0.0,0.004531272035451848,0.005239097019138197,1.0,1.0,1.0,1.0,0,12,0,,,,,,
