experiment,scenario,dataset,algorithm,value_quantifier,artificial_low_count,interaction_order,equivalent_mc_paths,contribution_threshold,threshold_mode,relative_threshold_factor,effective_contribution_threshold,feature_subset_count,feature_subset_seed,replicates,runtime_seconds_mean,runtime_seconds_std,coalition_evaluation_requests_mean,coalition_evaluation_requests_std,unique_value_evaluations_mean,unique_value_evaluations_std,actual_value_function_calls_mean,actual_value_function_calls_std,total_marginal_samples_mean,total_marginal_samples_std,marginal_sample_reduction_vs_mc_mean,marginal_sample_reduction_vs_mc_std,request_reduction_vs_mc_mean,request_reduction_vs_mc_std,all_nmae_mean,all_nmae_std,all_rmse_mean,all_rmse_std,spearman_mean,spearman_std,high_nmae_mean,high_nmae_std,high_rmse_mean,high_rmse_std,high_recall_mean,high_recall_std,high_precision_mean,high_precision_std,low_recall_mean,low_recall_std,low_precision_mean,low_precision_std,tail_total_abs_error_mean,tail_total_abs_error_std,known_low_capture_ratio_mean,known_low_capture_ratio_std,candidate_low_screening_ratio_mean,candidate_low_screening_ratio_std,artificial_reference_low_rate_mean,artificial_reference_low_rate_std,verified_artificial_low_recall_mean,verified_artificial_low_recall_std,mean_true_high_samples_mean,mean_true_high_samples_std,mean_true_low_samples_mean,mean_true_low_samples_std,low_to_high_sampling_ratio_mean,low_to_high_sampling_ratio_std,max_estimated_certified_low_contribution_mean,max_estimated_certified_low_contribution_std,high_group_count_mean,high_group_count_std,low_group_count_mean,low_group_count_std,group_checks_mean,group_checks_std,triggered_coalition_audits_mean,triggered_coalition_audits_std,focused_selection_rate,adaptive_sampling_rate
structured_text_public,documented_or_natural_low_tail,cnae_9,dtg_shapley,mutual_information,0,0,100,0.04,relative,0.5,0.005,100,11,1,91.84200029994827,0.0,9438.0,0.0,7856.0,0.0,7856.0,0.0,6074.0,0.0,0.39259999999999995,0.0,0.056400000000000006,0.0,0.00043054372108719985,0.0,0.0005915668252673911,0.0,0.9241884188418842,0.0,0.00021516725655361532,0.0,0.0003508328845478767,0.0,1.0,0.0,0.5172413793103449,0.0,0.6,0.0,1.0,0.0,0.004890608806735419,0.0,,0.0,,0.0,,0.0,,0.0,100.0,0.0,43.91428571428571,0.0,0.4391428571428571,0.0,0.0026740083856056,0.0,58.0,0.0,42.0,0.0,24.0,0.0,3.0,0.0,0.0,1.0
structured_text_public,documented_or_natural_low_tail,cnae_9,dtg_shapley,dataset_default,0,0,100,0.04,relative,0.5,0.005,100,11,1,1.8517308000009507,0.0,6314.0,0.0,5503.0,0.0,5503.0,0.0,3508.0,0.0,0.6492,0.0,0.3688,0.0,5.957743237370658e-05,0.0,0.00011889825580933988,0.0,0.9905520268632247,0.0,7.211588089081673e-05,0.0,0.0001299809404448675,0.0,1.0,0.0,0.7407407407407407,0.0,0.9125,0.0,1.0,0.0,0.0012593126865263283,0.0,,0.0,,0.0,,0.0,,0.0,100.0,0.0,18.85,0.0,0.1885,0.0,0.0016241727812568538,0.0,27.0,0.0,73.0,0.0,24.0,0.0,0.0,0.0,0.0,1.0
structured_text_public,documented_or_natural_low_tail,cnae_9,dtg_shapley,mutual_information,0,0,100,0.04,relative,0.5,0.01,50,11,1,25.157099100004416,0.0,4498.0,0.0,3545.0,0.0,3545.0,0.0,2600.0,0.0,0.48,0.0,0.1008,0.0,0.0008197256176824872,0.0,0.001198292375238974,0.0,0.9361344537815126,0.0,0.0005198466291301476,0.0,0.0009960373087426469,0.0,1.0,0.0,0.48,0.0,0.6578947368421053,0.0,1.0,0.0,0.00374028784375402,0.0,,0.0,,0.0,,0.0,,0.0,100.0,0.0,36.8421052631579,0.0,0.368421052631579,0.0,0.0052020714473481776,0.0,25.0,0.0,25.0,0.0,24.0,0.0,0.0,0.0,0.0,1.0
structured_text_public,documented_or_natural_low_tail,cnae_9,dtg_shapley,dataset_default,0,0,100,0.04,relative,0.5,0.01,50,11,1,0.8122014999971725,0.0,3154.0,0.0,2655.0,0.0,2655.0,0.0,1728.0,0.0,0.6544,0.0,0.36960000000000004,0.0,0.0003082806764813668,0.0,0.0007100310715070314,0.0,0.9865546218487395,0.0,0.00042630589327839513,0.0,0.0007785566675148682,0.0,1.0,0.0,0.6153846153846154,0.0,0.8809523809523809,0.0,1.0,0.0,0.0009137321504983503,0.0,,0.0,,0.0,,0.0,,0.0,100.0,0.0,22.095238095238095,0.0,0.22095238095238096,0.0,0.004572401207405407,0.0,13.0,0.0,37.0,0.0,24.0,0.0,0.0,0.0,0.0,1.0
structured_text_public,documented_or_natural_low_tail,cnae_9,mc,mutual_information,0,0,100,0.04,relative,0.5,0.01,50,11,1,33.44424669997534,0.0,5000.0,0.0,4775.0,0.0,4775.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0004614063837478639,0.0,0.001590558029674282,0.0,0.9978871548619448,0.0,0.001667616993674216,0.0,0.0032399981903504464,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0004381677547652951,0.0,,0.0,,0.0,,0.0,,0.0,100.0,0.0,100.0,0.0,1.0,0.0,0.009227902393831753,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
structured_text_public,documented_or_natural_low_tail,cnae_9,mc,mutual_information,0,0,100,0.04,relative,0.5,0.005,100,11,1,110.644022100023,0.0,10000.0,0.0,9827.0,0.0,9827.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0002318254853440832,0.0,0.0006473035441328618,0.0,0.9922232223222323,0.0,0.0005932508545048296,0.0,0.0011661802559042459,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.00023967398359298064,0.0,,0.0,,0.0,,0.0,,0.0,100.0,0.0,100.0,0.0,1.0,0.0,0.004957281879872908,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
structured_text_public,documented_or_natural_low_tail,cnae_9,mc,dataset_default,0,0,100,0.04,relative,0.5,0.005,100,11,1,3.2716680000012275,0.0,10000.0,0.0,9827.0,0.0,9827.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0001621983915402896,0.0,0.0007103775538122092,0.0,0.9961266010443905,0.0,0.0006700864732263553,0.0,0.0015543741196898545,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0021525086725737936,0.0,,0.0,,0.0,,0.0,,0.0,100.0,0.0,100.0,0.0,1.0,0.0,0.00430413806632593,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
structured_text_public,documented_or_natural_low_tail,cnae_9,mc,dataset_default,0,0,100,0.04,relative,0.5,0.01,50,11,1,1.1076470999978483,0.0,5000.0,0.0,4775.0,0.0,4775.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.00042040774017057823,0.0,0.0017403745100302054,0.0,0.9978871548619448,0.0,0.0022988970028409933,0.0,0.004326267798731351,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,5.1638464058943734e-05,0.0,,0.0,,0.0,,0.0,,0.0,100.0,0.0,100.0,0.0,1.0,0.0,0.009938807168814208,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
structured_text_public,documented_or_natural_low_tail,cnae_9,mc_reference,dataset_default,0,0,600,0.04,relative,0.5,0.005,100,11,1,18.251814399991417,0.0,60000.0,0.0,58331.0,0.0,58331.0,0.0,60000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,600.0,0.0,600.0,0.0,1.0,0.0,0.004276329417597721,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
structured_text_public,documented_or_natural_low_tail,cnae_9,mc_reference,mutual_information,0,0,600,0.04,relative,0.5,0.005,100,11,1,651.9787513000192,0.0,60000.0,0.0,58331.0,0.0,58331.0,0.0,60000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,600.0,0.0,600.0,0.0,1.0,0.0,0.004849405427644423,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
