case_id,experiment,scenario,dataset,algorithm,value_quantifier,seed,artificial_low_count,interaction_order,equivalent_mc_paths,feature_subset_count,feature_subset_seed,contribution_threshold,threshold_mode,relative_threshold_factor,effective_contribution_threshold,runtime_seconds,mode,high_group_count,low_group_count,group_checks,triggered_coalition_audits,coalition_evaluation_requests,unique_value_evaluations,actual_value_function_calls,total_marginal_samples,marginal_sample_reduction_vs_mc,request_reduction_vs_mc,known_low_capture_ratio,candidate_low_screening_ratio,reference_case_id,reference_algorithm,all_nmae,all_rmse,spearman,high_nmae,high_rmse,high_recall,high_precision,low_recall,low_precision,tail_total_abs_error,true_high_count,true_low_count,mean_true_high_samples,mean_true_low_samples,low_to_high_sampling_ratio,artificial_reference_low_rate,verified_artificial_low_recall,max_estimated_certified_low_contribution
structured_text_public__documented_or_natural_low_tail__cnae_9__low0__seed11__dtg_shapley__b100__2cc912779cb2,structured_text_public,documented_or_natural_low_tail,cnae_9,dtg_shapley,mutual_information,11,0,0,100,100,11,0.04,relative,0.5,0.005,91.84200029994827,mixed_adaptive_and_natural_fallback,58,42,24,3,9438,7856,7856,6074,0.39259999999999995,0.056400000000000006,,,structured_text_public__documented_or_natural_low_tail__cnae_9__low0__seed11__mc_reference__b600__b359f3a3336d,mc_reference,0.00043054372108719985,0.0005915668252673911,0.9241884188418842,0.00021516725655361532,0.0003508328845478767,1.0,0.5172413793103449,0.6,1.0,0.004890608806735419,30,70,100.0,43.91428571428571,0.4391428571428571,,,0.0026740083856056
structured_text_public__documented_or_natural_low_tail__cnae_9__low0__seed11__dtg_shapley__b100__6ce6132a53f4,structured_text_public,documented_or_natural_low_tail,cnae_9,dtg_shapley,dataset_default,11,0,0,100,100,11,0.04,relative,0.5,0.005,1.8517308000009507,adaptive_probability_sampling,27,73,24,0,6314,5503,5503,3508,0.6492,0.3688,,,structured_text_public__documented_or_natural_low_tail__cnae_9__low0__seed11__mc_reference__b600__29975f84843e,mc_reference,5.957743237370658e-05,0.00011889825580933988,0.9905520268632247,7.211588089081673e-05,0.0001299809404448675,1.0,0.7407407407407407,0.9125,1.0,0.0012593126865263283,20,80,100.0,18.85,0.1885,,,0.0016241727812568538
structured_text_public__documented_or_natural_low_tail__cnae_9__low0__seed11__dtg_shapley__b100__bbc3f1c71b24,structured_text_public,documented_or_natural_low_tail,cnae_9,dtg_shapley,mutual_information,11,0,0,100,50,11,0.04,relative,0.5,0.01,25.157099100004416,mixed_adaptive_and_natural_fallback,25,25,24,0,4498,3545,3545,2600,0.48,0.1008,,,structured_text_public__documented_or_natural_low_tail__cnae_9__low0__seed11__mc_reference__b600__e45d1203ce7b,mc_reference,0.0008197256176824872,0.001198292375238974,0.9361344537815126,0.0005198466291301476,0.0009960373087426469,1.0,0.48,0.6578947368421053,1.0,0.00374028784375402,12,38,100.0,36.8421052631579,0.368421052631579,,,0.0052020714473481776
structured_text_public__documented_or_natural_low_tail__cnae_9__low0__seed11__dtg_shapley__b100__c80623507a6b,structured_text_public,documented_or_natural_low_tail,cnae_9,dtg_shapley,dataset_default,11,0,0,100,50,11,0.04,relative,0.5,0.01,0.8122014999971725,adaptive_probability_sampling,13,37,24,0,3154,2655,2655,1728,0.6544,0.36960000000000004,,,structured_text_public__documented_or_natural_low_tail__cnae_9__low0__seed11__mc_reference__b600__cedff1063cb1,mc_reference,0.0003082806764813668,0.0007100310715070314,0.9865546218487395,0.00042630589327839513,0.0007785566675148682,1.0,0.6153846153846154,0.8809523809523809,1.0,0.0009137321504983503,8,42,100.0,22.095238095238095,0.22095238095238096,,,0.004572401207405407
structured_text_public__documented_or_natural_low_tail__cnae_9__low0__seed11__mc__b100__04f9e714ba7b,structured_text_public,documented_or_natural_low_tail,cnae_9,mc,mutual_information,11,0,0,100,50,11,0.04,relative,0.5,0.01,33.44424669997534,,,,,,5000,4775,4775,5000,0.0,0.0,,,structured_text_public__documented_or_natural_low_tail__cnae_9__low0__seed11__mc_reference__b600__e45d1203ce7b,mc_reference,0.0004614063837478639,0.001590558029674282,0.9978871548619448,0.001667616993674216,0.0032399981903504464,1.0,1.0,1.0,1.0,0.0004381677547652951,12,38,100.0,100.0,1.0,,,0.009227902393831753
structured_text_public__documented_or_natural_low_tail__cnae_9__low0__seed11__mc__b100__5592c4ce9549,structured_text_public,documented_or_natural_low_tail,cnae_9,mc,mutual_information,11,0,0,100,100,11,0.04,relative,0.5,0.005,110.644022100023,,,,,,10000,9827,9827,10000,0.0,0.0,,,structured_text_public__documented_or_natural_low_tail__cnae_9__low0__seed11__mc_reference__b600__b359f3a3336d,mc_reference,0.0002318254853440832,0.0006473035441328618,0.9922232223222323,0.0005932508545048296,0.0011661802559042459,1.0,1.0,1.0,1.0,0.00023967398359298064,30,70,100.0,100.0,1.0,,,0.004957281879872908
structured_text_public__documented_or_natural_low_tail__cnae_9__low0__seed11__mc__b100__a8580f12d59e,structured_text_public,documented_or_natural_low_tail,cnae_9,mc,dataset_default,11,0,0,100,100,11,0.04,relative,0.5,0.005,3.2716680000012275,,,,,,10000,9827,9827,10000,0.0,0.0,,,structured_text_public__documented_or_natural_low_tail__cnae_9__low0__seed11__mc_reference__b600__29975f84843e,mc_reference,0.0001621983915402896,0.0007103775538122092,0.9961266010443905,0.0006700864732263553,0.0015543741196898545,1.0,1.0,1.0,1.0,0.0021525086725737936,20,80,100.0,100.0,1.0,,,0.00430413806632593
structured_text_public__documented_or_natural_low_tail__cnae_9__low0__seed11__mc__b100__cc52a2158d28,structured_text_public,documented_or_natural_low_tail,cnae_9,mc,dataset_default,11,0,0,100,50,11,0.04,relative,0.5,0.01,1.1076470999978483,,,,,,5000,4775,4775,5000,0.0,0.0,,,structured_text_public__documented_or_natural_low_tail__cnae_9__low0__seed11__mc_reference__b600__cedff1063cb1,mc_reference,0.00042040774017057823,0.0017403745100302054,0.9978871548619448,0.0022988970028409933,0.004326267798731351,1.0,1.0,1.0,1.0,5.1638464058943734e-05,8,42,100.0,100.0,1.0,,,0.009938807168814208
structured_text_public__documented_or_natural_low_tail__cnae_9__low0__seed11__mc_reference__b600__29975f84843e,structured_text_public,documented_or_natural_low_tail,cnae_9,mc_reference,dataset_default,11,0,0,600,100,11,0.04,relative,0.5,0.005,18.251814399991417,,,,,,60000,58331,58331,60000,0.0,0.0,,,structured_text_public__documented_or_natural_low_tail__cnae_9__low0__seed11__mc_reference__b600__29975f84843e,mc_reference,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,20,80,600.0,600.0,1.0,,,0.004276329417597721
structured_text_public__documented_or_natural_low_tail__cnae_9__low0__seed11__mc_reference__b600__b359f3a3336d,structured_text_public,documented_or_natural_low_tail,cnae_9,mc_reference,mutual_information,11,0,0,600,100,11,0.04,relative,0.5,0.005,651.9787513000192,,,,,,60000,58331,58331,60000,0.0,0.0,,,structured_text_public__documented_or_natural_low_tail__cnae_9__low0__seed11__mc_reference__b600__b359f3a3336d,mc_reference,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,30,70,600.0,600.0,1.0,,,0.004849405427644423
structured_text_public__documented_or_natural_low_tail__cnae_9__low0__seed11__mc_reference__b600__cedff1063cb1,structured_text_public,documented_or_natural_low_tail,cnae_9,mc_reference,dataset_default,11,0,0,600,50,11,0.04,relative,0.5,0.01,5.575222199986456,,,,,,30000,28021,28021,30000,0.0,0.0,,,structured_text_public__documented_or_natural_low_tail__cnae_9__low0__seed11__mc_reference__b600__cedff1063cb1,mc_reference,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,8,42,600.0,600.0,1.0,,,0.009435570048090076
structured_text_public__documented_or_natural_low_tail__cnae_9__low0__seed11__mc_reference__b600__e45d1203ce7b,structured_text_public,documented_or_natural_low_tail,cnae_9,mc_reference,mutual_information,11,0,0,600,50,11,0.04,relative,0.5,0.01,192.70358420000412,,,,,,30000,28021,28021,30000,0.0,0.0,,,structured_text_public__documented_or_natural_low_tail__cnae_9__low0__seed11__mc_reference__b600__e45d1203ce7b,mc_reference,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,12,38,600.0,600.0,1.0,,,0.009243574387265132
